datetime,portfolio_value,cash,return
2020-12-01 09:30:00-05:00,100000.0,100000.0,
2020-12-02 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-03 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-04 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-05 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-07 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-08 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-09 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-10 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-11 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-12 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-14 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-15 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-16 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-17 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-18 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-19 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-21 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-22 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-23 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-24 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-25 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-28 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-29 09:30:00-05:00,100000.0,100000.0,0.0
2020-12-30 09:30:00-05:00,100000.0,100000.0,0.0
